CustomerID,Name,Gender,Age,Annual Income (k$),Spending Score (1-100),Address,Occupation,City
1,Luis Jackson,Male,19,15,39,"7294 Scott Harbor Apt. 602
North Tammytown, WY 61511","Teacher, music",Brandonshire
2,Nicole Cruz,Male,21,15,81,"67557 Moody Roads
Lake Johnshire, PW 59047",Product manager,Ariasstad
3,Linda Brooks,Female,20,16,6,"090 Hancock Highway
South Patriciaview, DC 65170",Sub,North Shaneville
4,Steven Morgan,Female,23,16,77,"6532 Amanda Mission Apt. 406
Hollyburgh, RI 92242",Administrator,Lake Rebecca
5,Kelly Evans,Female,31,17,40,"27141 Lawrence Plains
Garyfurt, WV 94124",Occupational therapist,Adamsborough
6,Ryan Avery,Female,22,17,76,"066 Hunter Wells Apt. 546
South Jennifer, CA 36122",Press photographer,Port Derrick
7,Travis Hayes,Female,35,18,6,"397 Rasmussen Field
New Johnville, MO 33310",Archivist,South Kathleenmouth
8,Kimberly Higgins,Female,23,18,94,"406 Gonzalez Pines Apt. 462
South Bryan, KY 53843","Merchandiser, retail",South Nathan
9,Christopher Summers,Male,64,19,3,"0406 Allen Orchard Apt. 033
West Jenniferstad, ND 93020",Diplomatic Services operational officer,Jacobchester
10,Katherine Lewis,Female,30,19,72,"09635 Charles Land
South Linda, WV 96373",Sales executive,Duffybury
11,Peter Clark,Male,67,19,14,"9486 Hunter Point Suite 582
Victorberg, OR 97152",Broadcast presenter,East Maria
12,Kelly Harvey,Female,35,19,99,"7998 Thompson Rapids
Port Steve, IL 34139","Physicist, medical",Port Toddfurt
13,Brittney Roberts,Female,58,20,15,"746 James Circles Suite 243
East Bryanside, SD 76115",Optometrist,Peterstad
14,Devin Robinson,Female,24,20,77,"89512 Thompson Viaduct Suite 576
Faithmouth, TX 41968",Broadcast journalist,Flemingview
15,Emily Harrington,Male,37,20,13,"76405 Anna Parks Apt. 402
New Jamesshire, MA 42378","Development worker, community",Sethtown
16,Mrs. Emily Butler,Male,22,20,79,"45172 Weber Union Apt. 675
Braytown, MT 61308",Nutritional therapist,Blackborough
17,Mary Ross,Female,35,21,35,"97521 Alyssa Trail Suite 377
Rogersport, OK 75220","Research officer, political party",New Ashleymouth
18,Sherri Reed,Male,20,21,66,"732 Jacqueline Centers Suite 127
Meyerfurt, NH 65425",Environmental manager,South Dana
19,Jesse Smith,Male,52,23,29,"087 John Knolls Suite 299
Petersonfort, LA 86338",Building surveyor,South Jason
20,Pamela Campos,Female,35,23,98,"5266 Renee Junction Apt. 640
Smithfurt, PR 56427",Fisheries officer,East Kaylaburgh
21,Jeanette Smith,Male,35,24,35,"745 Deanna Vista Apt. 524
Cherylbury, VT 45289",Race relations officer,Dennisland
22,Michelle Hammond,Male,25,24,73,"0483 Briggs Flats Apt. 290
West Christopher, SD 37916",Field trials officer,South Melvinchester
23,Allen Johnson,Female,46,25,5,"992 Martin Brook Suite 077
Lake Erika, KS 78647",Dramatherapist,East Kimborough
24,Nicolas Adkins,Male,31,25,73,"9687 Massey Overpass
Juliechester, WI 60011",Video editor,Cortezberg
25,Jeremy Brown,Female,54,28,14,"PSC 0151, Box 3817
APO AE 47731","Engineer, materials",North Johnville
26,Amanda Swanson,Male,29,28,82,"60380 Andrea Cape
North Kathleen, FM 38441",Fast food restaurant manager,West Ryan
27,Julie Hodges,Female,45,28,32,"6957 Jay Crossing
Robertchester, CT 82676",Photographer,Riverashire
28,Douglas Lopez,Male,35,28,61,"054 Taylor Square Suite 470
Port Jamesshire, VI 98008",Conference centre manager,Estesville
29,Amy Bryant,Female,40,29,31,"26365 Lisa Parkway
Lake Christophermouth, WI 88446",Fashion designer,Davidshire
30,Clifford Tyler,Female,23,29,87,"252 Levi Fort
North Derekstad, OR 64916",Chartered loss adjuster,North Karen
31,Wendy Mathis,Male,60,30,4,"7373 Amy Loaf
Ayerstown, ND 17303","Sales professional, IT",Clarkland
32,Melanie Simon,Female,21,30,73,"1910 Melissa Terrace
Terrifort, CA 16826",Agricultural consultant,North Amber
33,Elizabeth Williams,Male,53,33,4,"288 Charles Glens
Alyssatown, NC 55764",Dealer,Port Latoya
34,Brett Miller,Male,18,33,92,"9074 Amber Mall Apt. 757
Ballardtown, KY 09943",Psychiatric nurse,Collinsland
35,Michael Patterson,Female,49,33,14,"14698 Daniel Throughway Suite 778
Washingtonborough, AL 06772","Programmer, systems",Port Brandi
36,Lindsay Mason,Female,21,33,81,"2905 Oneal Loop Apt. 596
Lake Peggy, NC 21392","Journalist, newspaper",Williamsmouth
37,Scott Stephenson,Female,42,34,17,"63268 Jonathan Prairie Suite 006
Lindseybury, VA 97156",Fitness centre manager,Doyleberg
38,Matthew Soto,Female,30,34,73,"3276 Holland Crest
South Brucefort, OH 68310",Corporate treasurer,Rothshire
39,Heather Martinez,Female,36,37,26,"383 Bryant Corners Suite 851
Port Desireeland, ND 91378",Speech and language therapist,Wagnertown
40,Joshua Sims,Female,20,37,75,"378 Aguilar Motorway Apt. 707
Port Debra, SD 67987",Advertising account executive,Mannhaven
41,April Perez,Female,65,38,35,"442 Phillip Heights
Allisonfurt, KY 17581",Tree surgeon,East Mariaville
42,Sean Wood,Male,24,38,92,"23039 Morris Wall Apt. 373
Stewartbury, NV 99259",Ship broker,North Josephberg
43,Ashley Mccormick,Male,48,39,36,"61607 Spencer Key
Kimberlyborough, MI 79927",Landscape architect,Kennethmouth
44,Richard Fuller,Female,31,39,61,"5436 Mary Estates
Martinezport, TN 64565",Furniture designer,South Rebecca
45,Christopher Irwin,Female,49,39,28,"2734 Li Inlet Suite 725
Wendyburgh, GU 73162",Trade mark attorney,Robertside
46,Janet Holland,Female,24,39,65,"008 Trevor Shore Suite 108
Mcdonaldstad, GU 23743","Horticulturist, amenity",Freemanhaven
47,Brett Haney,Female,50,40,55,"81776 Alvarez Island
Joshuaburgh, CT 30792",Bookseller,South Mary
48,Brandon Gonzalez,Female,27,40,47,"357 Joshua Branch Apt. 657
East Miketown, RI 21509","Programmer, systems",Jorgeville
49,Alex Thompson,Female,29,40,42,"43355 Michael Isle Apt. 204
Mauriceborough, HI 24092",Adult nurse,West Matthewside
50,Jessica Watkins,Female,31,40,42,"7539 Karen Knolls
Lake Deborah, AL 92119","Engineer, materials",South Johnfort
51,Teresa Washington,Female,49,42,52,"11497 Sullivan Square
North Isaiahton, DE 57853",Surgeon,Lake Johnhaven
52,Laura Howard,Male,33,42,60,"1612 Stokes Gateway Suite 830
Christopherstad, ID 17753",Theatre manager,South Courtney
53,Margaret Rojas,Female,31,43,54,"519 Michaela Oval
Kruegerbury, ID 41338",Purchasing manager,Carrieton
54,Lisa Parker,Male,59,43,60,"133 Matthew Run Apt. 594
Sandrabury, NJ 39636",Human resources officer,Weissbury
55,Nicholas Mccarthy,Female,50,43,45,"11939 Robertson Ramp
Gordonton, MP 80977",Make,Tonyland
56,Rachael Mercado,Male,47,43,41,"498 Smith Curve
North William, FL 99116",Scientific laboratory technician,Craighaven
57,Krista Hunter,Female,51,44,50,"375 Bell Forge
New Michellehaven, OR 64399",Academic librarian,Fowlerton
58,Kristina Long,Male,69,44,46,"PSC 5250, Box 5285
APO AP 91494","Lecturer, further education",Port Wendyton
59,David Farrell,Female,27,46,51,"94570 Hurley Mountain
East Patrickburgh, NH 52825","Production assistant, radio",Marshallburgh
60,Kim Wolf,Male,53,46,46,"29754 Andrew Causeway
East Robertburgh, MD 66468",Insurance account manager,North Crystalstad
61,Carol Gonzalez,Male,70,46,56,"06687 Nelson Streets
South Lance, MD 05429",Senior tax professional/tax inspector,North Emilytown
62,Deborah Rivera,Male,19,46,55,"Unit 2632 Box 2001
DPO AA 88445",Midwife,North Priscilla
63,Jill Ibarra,Female,67,47,52,"08696 Whitney Park
Port Bobby, CO 49198","Engineer, energy",South Sandra
64,Adam Johnson DVM,Female,54,47,59,"89029 Sullivan Fields
Port Andrew, HI 95032",Ambulance person,North Jonathonton
65,Emma Hickman,Male,63,48,51,"05007 Baker Flats
Beanville, AL 53150",Best boy,West Brianton
66,Angela Jackson,Male,18,48,59,"3744 Elaine Prairie
Andersonberg, DC 98408","Engineer, energy",Mcculloughstad
67,Robert Wood,Female,43,48,50,"54341 Miller Harbors Apt. 264
Jeffreyborough, VA 07489",Writer,West Christopherside
68,Toni Tran,Female,68,48,48,"USNS Peck
FPO AE 27126",Police officer,Port Nicholas
69,Gregory Davidson,Male,19,48,59,"USNS Benton
FPO AE 49333","Exhibitions officer, museum/gallery",North James
70,Grace Sanchez,Female,32,48,47,"4998 Woods Center
Aprilmouth, OH 51404",Dramatherapist,Port Holly
71,Valerie White,Male,70,49,55,"9807 Harmon Mall Apt. 793
North Stevenhaven, IL 06105",Optometrist,Jenningsbury
72,Jessica Allen,Female,47,49,42,"9780 Howard Parks Apt. 981
East Kathymouth, AR 53252",Music tutor,Port Joshuachester
73,Dr. Alexander Jacobson,Female,60,50,49,"892 Harris Trail Apt. 870
East Nicholas, NE 14514",Technical author,Johnstad
74,Mark Pennington,Female,60,50,56,"4774 Allison Extensions
Port Frankmouth, WY 82028",Nutritional therapist,Sototown
75,Michael Martinez,Male,59,54,47,"34222 Powell Junction
Chaseport, WV 33466",Diplomatic Services operational officer,Lake Kathleen
76,Emily Liu,Male,26,54,54,"4759 Ellis Gateway Apt. 549
East Michaelstad, OR 42855","Production assistant, radio",North Lynnside
77,Hannah Williams,Female,45,54,53,"40168 Melissa Estate
West Gregory, NH 10786",Nature conservation officer,Port Rachel
78,Steven Robinson,Male,40,54,48,"89413 Lynch Trace Suite 401
Princemouth, ID 04457",Adult guidance worker,New Christineton
79,Taylor Turner,Female,23,54,52,"749 Taylor Alley Apt. 628
North William, NM 99153",Ergonomist,Port Timothyburgh
80,Kayla Peterson,Female,49,54,42,"8569 Phillips Row Apt. 256
South Cynthia, MP 85870","Surveyor, minerals",East Ashley
81,Megan Dominguez,Male,57,54,51,"498 Smith Mountains
North Larry, RI 26648",Interior and spatial designer,South Katie
82,Brian Winters,Male,38,54,55,"49254 Alexander Circle
New Benjaminfort, IN 76943",Chemical engineer,Edwardsside
83,Shannon Lewis,Male,67,54,41,"4469 Mitchell Mission Apt. 679
Kiaramouth, AZ 25822",Special educational needs teacher,Gainesmouth
84,Natasha Davis,Female,46,54,44,"1399 Alicia Gateway
West Danielmouth, ME 11784","Administrator, education",North Dorothyside
85,Manuel Thomas,Female,21,54,57,"8275 Derek Lodge Suite 989
Danabury, AL 36302","Surveyor, mining",Jasonborough
86,Debbie Wagner,Male,48,54,46,"16763 Sarah Ridge
East Jamie, WY 60989",Magazine journalist,Bowersport
87,Timothy Harding,Female,55,57,58,"0735 Myers Mills
Reneemouth, CT 96892",Chartered public finance accountant,Bryanfurt
88,Jacqueline Hays,Female,22,57,55,"PSC 6065, Box 2650
APO AP 95546","Scientist, research (maths)",Rebeccatown
89,Hunter Cummings,Female,34,58,60,"5189 Christopher Groves
Nathanview, TN 73436","Teacher, secondary school",Port Dustin
90,David Wright,Female,50,58,46,"588 Evan Burg Apt. 331
Patriciaberg, RI 29312",Associate Professor,Bethanyfurt
91,Sandra Smith,Female,68,59,55,"1745 Charles Prairie Apt. 244
Kelseyborough, MS 35031",Arts development officer,New Amberstad
92,James Smith,Male,18,59,41,"562 Long Highway
Port Lukeburgh, LA 04450",Private music teacher,East Elizabethhaven
93,Brian Wilson,Male,48,60,49,"01297 Mcdonald Way Suite 034
Melanieview, WY 24962",Tourism officer,West Rebecca
94,Melissa Garcia,Female,40,60,40,"33773 Sandra Common Apt. 544
South Brianchester, VI 02390","Doctor, general practice",Allisonmouth
95,Elizabeth Bond,Female,32,60,42,"839 Williams Brook
Coltonbury, VT 60166",Sports therapist,Fosterborough
96,Keith Villegas,Male,24,60,52,"638 Hailey Meadows Apt. 336
Walshstad, CO 95182","Engineer, materials",New Sharonport
97,Douglas Davis,Female,47,60,47,"34470 Arroyo Trace Suite 934
Millerfurt, ND 73221",Petroleum engineer,North Cory
98,John Jacobson,Female,27,60,50,"93542 Graham Light Suite 459
Andrewland, MN 25361","Psychotherapist, dance movement",South Sydney
99,Margaret Higgins,Male,48,61,42,"431 Shawn Ford Apt. 385
Lake Andrew, DE 72998",Camera operator,East Laceymouth
100,Bill Sanchez,Male,20,61,49,"0291 Pierce Causeway
West Vanessaland, CA 19295",Agricultural consultant,South Patricia
101,Michael Holt,Female,23,62,41,"313 April Skyway Suite 145
Franklinberg, ID 97936","Lecturer, further education",Crystalville
102,Richard Holmes,Female,49,62,48,"PSC 0662, Box 7957
APO AA 36673",Sales executive,Lake Caleb
103,Charles Perez,Male,67,62,59,"0190 Laura Creek
Hendersonmouth, AK 38648",Race relations officer,North Erin
104,George Lawson,Male,26,62,55,"66355 Conner Lane
North Karen, WI 95348","Therapist, drama",New Angela
105,Nancy Mueller,Male,49,62,56,"72550 Henson Mountain
Karenville, ND 63582",Special educational needs teacher,Alisontown
106,Thomas Brown,Female,21,62,42,"70546 Steven Points
South Benjamin, TN 68505",Forensic scientist,South Amandamouth
107,Mr. Jose Flores MD,Female,66,63,50,"57858 Elizabeth Forges Suite 926
Shannonburgh, AR 67259",Advertising account executive,Port Ryanborough
108,Karen Sanchez,Male,54,63,46,"1580 Scott Fork Suite 541
Amyview, IN 86927",Multimedia specialist,Knightstad
